order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
185,Ca-New-2014-158274,11/19/2014,11/24/2014,Second Class,RM-19675,TEC-AC-10002345,29,2,0,7.25
187,Ca-New-2014-123260,8/26/2014,8/30/2014,Standard Class,FM-14290,TEC-AC-10002323,176.8,8,0,22.984
196,Ca-New-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,OFF-AR-10004685,7.408,2,0.2,1.2038
197,Ca-New-2014-140004,3/21/2014,3/25/2014,Standard Class,CB-12025,OFF-AR-10004027,6.048,3,0.2,1.5876
202,Ca-New-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755,FUR-TA-10004289,218.75,2,0.5,-161.875
203,Ca-New-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755,OFF-AP-10003622,2.6,1,0.2,0.2925
231,US-2014-156216,9/13/2014,9/17/2014,Standard Class,EA-14035,OFF-BI-10001679,18.648,7,0.7,-12.432
245,Ca-New-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,FUR-CH-10004063,2001.86,7,0,580.5394
246,Ca-New-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,OFF-ST-10002276,166.72,2,0,41.68
247,Ca-New-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,OFF-PA-10004082,47.88,6,0,23.94
248,Ca-New-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,OFF-AP-10002945,1503.25,5,0,496.0725
249,Ca-New-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480,OFF-PA-10000061,25.92,4,0,12.4416
263,US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,TEC-MA-10000822,3059.982,3,0.4,-509.997
264,US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,TEC-MA-10003353,2519.958,7,0.4,-251.9958
294,Ca-New-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,FUR-FU-10004091,300.416,8,0.2,78.8592
295,Ca-New-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,FUR-CH-10001891,230.352,3,0.2,20.1558
296,Ca-New-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,FUR-FU-10002918,218.352,3,0.2,-24.5646
297,Ca-New-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,OFF-BI-10004593,78.6,5,0.7,-62.88
298,Ca-New-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555,OFF-FA-10004854,27.552,3,0.2,9.2988
307,Ca-New-2014-111003,6/1/2014,6/6/2014,Standard Class,CR-12625,OFF-BI-10001072,45.48,3,0,20.9208
308,Ca-New-2014-111003,6/1/2014,6/6/2014,Standard Class,CR-12625,OFF-AR-10002135,289.2,6,0,83.868
314,Ca-New-2014-120887,9/27/2014,10/3/2014,Standard Class,TS-21205,FUR-FU-10001588,87.54,3,0,37.6422
315,Ca-New-2014-167850,8/9/2014,8/16/2014,Standard Class,AG-10525,TEC-PH-10002398,178.384,2,0.2,22.298
316,Ca-New-2014-167850,8/9/2014,8/16/2014,Standard Class,AG-10525,OFF-PA-10001937,15.552,3,0.2,5.4432
317,Ca-New-2014-164259,12/28/2014,12/30/2014,First Class,SP-20860,OFF-AR-10003373,99.136,4,0.2,8.6744
318,Ca-New-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,FUR-CH-10002602,135.882,1,0.1,24.1568
319,Ca-New-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,TEC-MA-10002927,3991.98,2,0,1995.99
320,Ca-New-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,TEC-PH-10004093,275.94,6,0,80.0226
321,Ca-New-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,TEC-AC-10000892,360,4,0,129.6
322,Ca-New-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,OFF-ST-10002974,43.57,1,0,13.071
323,Ca-New-2014-156601,9/19/2014,9/24/2014,Standard Class,FA-14230,OFF-FA-10000624,7.16,2,0,3.58
338,Ca-New-2014-129924,7/12/2014,7/17/2014,Standard Class,AC-10420,OFF-BI-10003314,7.712,2,0.2,2.7956
339,Ca-New-2014-129924,7/12/2014,7/17/2014,Standard Class,AC-10420,FUR-TA-10004575,698.352,3,0.2,-17.4588
341,Ca-New-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,OFF-AR-10000122,17.856,4,0.2,1.116
342,Ca-New-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,OFF-BI-10003656,509.97,10,0.7,-407.976
343,Ca-New-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,OFF-FA-10002780,30.992,13,0.2,10.0724
344,Ca-New-2014-122336,4/13/2014,4/17/2014,Second Class,JD-15895,TEC-PH-10000702,71.928,12,0.4,8.3916
366,Ca-New-2014-123344,9/24/2014,9/29/2014,Standard Class,JD-16060,OFF-ST-10001713,211.96,4,0,8.4784
373,US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900,OFF-BI-10001982,8.16,5,0.7,-5.712
374,US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900,TEC-AC-10003911,1023.936,8,0.2,179.1888
375,US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900,OFF-AR-10000658,9.24,1,0.2,0.924
376,US-2014-119137,7/23/2014,7/27/2014,Standard Class,AG-10900,TEC-AC-10002076,479.04,10,0.2,-29.94
389,Ca-New-2014-115973,11/24/2014,11/26/2014,First Class,NG-18430,OFF-AR-10004757,2.624,1,0.2,0.4264
392,US-2014-135972,9/21/2014,9/23/2014,Second Class,JG-15115,TEC-PH-10003012,246.384,2,0.2,27.7182
393,US-2014-135972,9/21/2014,9/23/2014,Second Class,JG-15115,TEC-CO-10002313,1799.97,3,0,701.9883
394,US-2014-134971,6/7/2014,6/10/2014,Second Class,BP-11095,OFF-BI-10003982,12.462,3,0.8,-20.5623
403,Ca-New-2014-113166,12/24/2014,12/26/2014,First Class,LF-17185,OFF-PA-10001947,9.568,2,0.2,3.4684
404,Ca-New-2014-155208,4/16/2014,4/20/2014,Standard Class,SP-20650,OFF-AR-10003478,39.072,6,0.2,9.768
422,Ca-New-2014-142048,6/22/2014,6/25/2014,First Class,JE-15745,TEC-AC-10004114,196.752,6,0.2,56.5662
428,Ca-New-2014-101476,9/12/2014,9/13/2014,First Class,SD-20485,TEC-MA-10000029,69.99,1,0,30.0957
435,US-2014-150574,12/19/2014,12/25/2014,Standard Class,MK-18160,OFF-BI-10000773,4.812,2,0.7,-3.6892
436,US-2014-150574,12/19/2014,12/25/2014,Standard Class,MK-18160,TEC-AC-10002600,247.8,5,0.2,-18.585
457,US-2014-110674,2/12/2014,2/18/2014,Standard Class,SC-20095,FUR-CH-10000225,129.568,2,0.2,-24.294
472,Ca-New-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,OFF-ST-10002743,340.92,3,0,3.4092
473,Ca-New-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,FUR-BO-10001601,222.666,2,0.15,10.4784
474,Ca-New-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,TEC-PH-10002680,703.968,4,0.2,87.996
475,Ca-New-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,OFF-ST-10001321,92.52,6,0,24.9804
476,Ca-New-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,OFF-PA-10001509,62.65,7,0,28.819
477,Ca-New-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520,OFF-PA-10003465,94.85,5,0,45.528
482,Ca-New-2014-134677,10/6/2014,10/10/2014,Standard Class,XP-21865,TEC-AC-10001445,9.09,3,0,1.9089
483,Ca-New-2014-127691,7/22/2014,7/27/2014,Standard Class,EM-14065,OFF-AR-10002053,5.96,2,0,1.6688
484,Ca-New-2014-127691,7/22/2014,7/27/2014,Standard Class,EM-14065,TEC-AC-10002567,159.98,2,0,57.5928
488,Ca-New-2014-154627,10/29/2014,10/31/2014,First Class,SA-20830,TEC-PH-10001363,2735.952,6,0.2,341.994
489,Ca-New-2014-133753,6/9/2014,6/13/2014,Second Class,CW-11905,TEC-PH-10000376,7.992,1,0.2,0.5994
490,Ca-New-2014-133753,6/9/2014,6/13/2014,Second Class,CW-11905,TEC-AC-10000303,63.984,2,0.2,10.3974
491,Ca-New-2014-133753,6/9/2014,6/13/2014,Second Class,CW-11905,OFF-AR-10001953,70.368,2,0.2,6.1572
492,Ca-New-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960,OFF-ST-10001809,449.15,5,0,8.983
493,Ca-New-2014-113362,9/14/2014,9/19/2014,Standard Class,AJ-10960,OFF-EN-10003845,11.07,3,0,5.0922
541,Ca-New-2014-140795,2/1/2014,2/3/2014,First Class,BD-11500,TEC-AC-10001432,468.9,6,0,206.316
544,Ca-New-2014-103849,5/11/2014,5/16/2014,Standard Class,PG-18895,TEC-AC-10001465,58.112,2,0.2,7.264
545,Ca-New-2014-103849,5/11/2014,5/16/2014,Standard Class,PG-18895,TEC-PH-10002597,100.792,1,0.2,6.2995
546,Ca-New-2014-103849,5/11/2014,5/16/2014,Standard Class,PG-18895,FUR-FU-10000723,66.112,4,0.6,-84.2928
556,Ca-New-2014-155852,3/3/2014,3/7/2014,Second Class,AJ-10945,OFF-AR-10003560,19.456,4,0.2,3.4048
562,Ca-New-2014-145576,9/14/2014,9/18/2014,Second Class,CA-12775,OFF-AP-10003914,13,5,0.2,1.3
563,Ca-New-2014-145576,9/14/2014,9/18/2014,Second Class,CA-12775,FUR-FU-10004020,13.128,3,0.2,3.7743
593,Ca-New-2014-135405,1/9/2014,1/13/2014,Standard Class,MS-17830,OFF-AR-10004078,9.344,2,0.2,1.168
594,Ca-New-2014-135405,1/9/2014,1/13/2014,Standard Class,MS-17830,TEC-AC-10001266,31.2,3,0.2,9.75
595,Ca-New-2014-131450,8/8/2014,8/15/2014,Standard Class,LR-16915,OFF-AP-10004708,76.12,2,0,22.0748
596,Ca-New-2014-131450,8/8/2014,8/15/2014,Standard Class,LR-16915,TEC-CO-10004115,1199.976,3,0.2,434.9913
597,Ca-New-2014-131450,8/8/2014,8/15/2014,Standard Class,LR-16915,TEC-PH-10002398,445.96,5,0.2,55.745
598,Ca-New-2014-131450,8/8/2014,8/15/2014,Standard Class,LR-16915,FUR-FU-10001979,327.76,8,0,91.7728
603,Ca-New-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240,OFF-ST-10001490,142.776,1,0.2,17.847
604,Ca-New-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240,FUR-FU-10001756,45.696,3,0.2,5.1408
605,Ca-New-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240,OFF-BI-10000773,7.218,3,0.7,-5.5338
606,Ca-New-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240,OFF-BI-10001543,43.188,4,0.7,-31.6712
607,Ca-New-2014-149958,3/15/2014,3/19/2014,Standard Class,AS-10240,OFF-PA-10002120,131.904,3,0.2,47.8152
608,US-2014-105767,5/23/2014,5/27/2014,Standard Class,AR-10510,OFF-BI-10000848,3.282,2,0.7,-2.6256
609,US-2014-105767,5/23/2014,5/27/2014,Standard Class,AR-10510,OFF-AR-10001246,21.168,9,0.2,2.3814
610,US-2014-105767,5/23/2014,5/27/2014,Standard Class,AR-10510,TEC-PH-10003092,55.188,2,0.4,-10.1178
622,US-2014-111171,12/26/2014,12/31/2014,Standard Class,CA-12265,OFF-BI-10002103,8.69,5,0.8,-14.773
669,Ca-New-2014-156314,12/24/2014,12/26/2014,First Class,RP-19390,FUR-FU-10003096,30.36,5,0.2,8.7285
686,Ca-New-2014-157784,7/5/2014,7/8/2014,First Class,MC-17845,TEC-AC-10003911,479.97,3,0,163.1898
687,Ca-New-2014-157784,7/5/2014,7/8/2014,First Class,MC-17845,OFF-LA-10001934,14.62,2,0,6.8714
688,Ca-New-2014-157784,7/5/2014,7/8/2014,First Class,MC-17845,OFF-PA-10000304,19.44,3,0,9.3312
690,US-2014-117135,6/21/2014,6/23/2014,Second Class,NP-18325,FUR-FU-10004071,104.01,1,0,14.5614
691,US-2014-117135,6/21/2014,6/23/2014,Second Class,NP-18325,TEC-PH-10002033,284.82,1,0,74.0532
692,US-2014-117135,6/21/2014,6/23/2014,Second Class,NP-18325,OFF-ST-10002444,36.84,3,0,10.3152
705,Ca-New-2014-138527,9/12/2014,9/17/2014,Standard Class,BN-11470,OFF-PA-10001800,10.368,2,0.2,3.6288
706,Ca-New-2014-138527,9/12/2014,9/17/2014,Standard Class,BN-11470,OFF-AP-10001469,166.84,5,0.2,18.7695
707,Ca-New-2014-138527,9/12/2014,9/17/2014,Standard Class,BN-11470,TEC-AC-10002399,15.216,1,0.2,2.2824
708,Ca-New-2014-112158,12/2/2014,12/4/2014,First Class,DP-13165,TEC-AC-10003628,119.96,4,0,52.7824
709,Ca-New-2014-112158,12/2/2014,12/4/2014,First Class,DP-13165,FUR-BO-10003272,883.92,5,0.2,-110.49
710,Ca-New-2014-112158,12/2/2014,12/4/2014,First Class,DP-13165,OFF-BI-10000050,46.72,8,0.2,15.768
711,Ca-New-2014-113887,4/5/2014,4/7/2014,First Class,TH-21550,OFF-PA-10004071,55.48,1,0,26.6304
716,Ca-New-2014-153150,7/1/2014,7/6/2014,Second Class,Dl-13600,OFF-BI-10003355,19.92,5,0.2,6.972
717,Ca-New-2014-130092,1/11/2014,1/14/2014,First Class,SV-20365,FUR-FU-10000010,9.94,2,0,3.0814
719,Ca-New-2014-104472,6/2/2014,6/7/2014,Standard Class,CK-12325,OFF-BI-10001658,59.808,3,0.2,19.4376
720,Ca-New-2014-104472,6/2/2014,6/7/2014,Standard Class,CK-12325,FUR-FU-10000246,73.32,6,0,21.996
724,Ca-New-2014-117429,10/7/2014,10/13/2014,Standard Class,MR-17545,FUR-FU-10000222,129.92,5,0.2,21.112
739,Ca-New-2014-132500,9/8/2014,9/12/2014,Standard Class,GZ-14470,TEC-AC-10001383,49.98,2,0,8.4966
740,Ca-New-2014-112326,1/4/2014,1/8/2014,Standard Class,PO-19195,OFF-LA-10003223,11.784,3,0.2,4.2717
741,Ca-New-2014-112326,1/4/2014,1/8/2014,Standard Class,PO-19195,OFF-ST-10002743,272.736,3,0.2,-64.7748
742,Ca-New-2014-112326,1/4/2014,1/8/2014,Standard Class,PO-19195,OFF-BI-10004094,3.54,2,0.8,-5.487
747,Ca-New-2014-124429,5/27/2014,5/27/2014,Same Day,MH-17785,FUR-TA-10002607,567.12,10,0.2,-28.356
748,Ca-New-2014-124429,5/27/2014,5/27/2014,Same Day,MH-17785,OFF-ST-10001809,359.32,4,0,7.1864
764,Ca-New-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,OFF-EN-10001990,11.36,2,0,5.3392
765,Ca-New-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,OFF-EN-10001532,50.94,3,0,25.47
766,Ca-New-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,TEC-AC-10003174,646.74,6,0,258.696
767,Ca-New-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,OFF-BI-10004187,5.64,3,0,2.7072
768,Ca-New-2014-162775,1/13/2014,1/15/2014,Second Class,CS-12250,OFF-ST-10000025,572.58,6,0,34.3548
769,Ca-New-2014-106810,5/14/2014,5/20/2014,Standard Class,AJ-10795,FUR-FU-10004306,310.88,2,0.2,23.316
777,Ca-New-2014-165974,6/29/2014,7/6/2014,Standard Class,DL-12865,OFF-AR-10003405,32.76,7,0.2,3.6855
794,Ca-New-2014-156433,9/20/2014,9/26/2014,Standard Class,ES-14020,OFF-LA-10001569,9.96,2,0,4.5816
795,Ca-New-2014-156433,9/20/2014,9/26/2014,Standard Class,ES-14020,OFF-PA-10003724,21.72,4,0,10.6428
806,Ca-New-2014-134313,11/1/2014,11/7/2014,Standard Class,RA-19915,OFF-AR-10001897,43.176,3,0.2,4.3176
807,Ca-New-2014-134313,11/1/2014,11/7/2014,Standard Class,RA-19915,TEC-PH-10001795,1983.968,4,0.2,247.996
810,Ca-New-2014-151995,10/13/2014,10/15/2014,First Class,ZC-21910,OFF-AR-10003190,11.52,4,0,3.2256
811,Ca-New-2014-151995,10/13/2014,10/15/2014,First Class,ZC-21910,FUR-TA-10002903,1298.55,5,0,311.652
812,Ca-New-2014-151995,10/13/2014,10/15/2014,First Class,ZC-21910,OFF-AP-10000240,213.92,4,0,62.0368
813,Ca-New-2014-151995,10/13/2014,10/15/2014,First Class,ZC-21910,TEC-AC-10001101,25.78,2,0,2.578
818,Ca-New-2014-140858,6/28/2014,7/2/2014,Standard Class,CA-12775,OFF-PA-10000304,41.472,8,0.2,14.5152
819,Ca-New-2014-140858,6/28/2014,7/2/2014,Standard Class,CA-12775,OFF-BI-10003094,3.168,3,0.7,-2.4288
820,Ca-New-2014-140858,6/28/2014,7/2/2014,Standard Class,CA-12775,FUR-CH-10001394,1228.465,5,0.3,0
821,Ca-New-2014-140858,6/28/2014,7/2/2014,Standard Class,CA-12775,OFF-BI-10004230,31.086,3,0.7,-22.7964
822,Ca-New-2014-140858,6/28/2014,7/2/2014,Standard Class,CA-12775,OFF-PA-10003395,335.52,4,0.2,117.432
825,US-2014-102071,5/9/2014,5/15/2014,Standard Class,PG-18820,TEC-AC-10003441,67.8,4,0,4.068
826,US-2014-102071,5/9/2014,5/15/2014,Standard Class,PG-18820,TEC-AC-10000109,167.97,3,0,40.3128
837,US-2014-115987,9/8/2014,9/13/2014,Second Class,LH-17020,OFF-BI-10001071,51.184,4,0.8,-79.3352
850,Ca-New-2014-107755,2/7/2014,2/12/2014,Standard Class,CK-12760,TEC-AC-10000710,115.36,7,0,49.6048
856,Ca-New-2014-125612,8/3/2014,8/8/2014,Standard Class,BK-11260,OFF-PA-10001019,39.96,2,0,18.7812
857,Ca-New-2014-125612,8/3/2014,8/8/2014,Standard Class,BK-11260,OFF-SU-10002537,102.3,10,0,26.598
858,Ca-New-2014-125612,8/3/2014,8/8/2014,Standard Class,BK-11260,OFF-ST-10003221,21.36,2,0,5.7672
861,Ca-New-2014-133851,6/9/2014,6/16/2014,Standard Class,CM-12445,OFF-SU-10001225,7.36,2,0,0.1472
862,Ca-New-2014-133851,6/9/2014,6/16/2014,Standard Class,CM-12445,OFF-AR-10003752,23.1,2,0,10.626
866,Ca-New-2014-149020,1/10/2014,1/15/2014,Standard Class,AJ-10780,OFF-LA-10004272,2.89,1,0,1.3583
867,Ca-New-2014-149020,1/10/2014,1/15/2014,Standard Class,AJ-10780,FUR-FU-10000965,51.94,1,0,21.2954
869,Ca-New-2014-136742,4/6/2014,4/10/2014,Standard Class,GP-14740,OFF-BI-10003719,44.91,6,0.7,-35.928
873,Ca-New-2014-148488,12/10/2014,12/15/2014,Standard Class,SM-20005,OFF-PA-10004470,11.36,2,0,5.2256
874,Ca-New-2014-148488,12/10/2014,12/15/2014,Standard Class,SM-20005,OFF-BI-10000315,106.344,7,0.2,37.2204
879,US-2014-158638,9/17/2014,9/21/2014,Standard Class,AG-10765,OFF-BI-10003712,5.892,4,0.7,-4.1244
885,Ca-New-2014-134061,4/29/2014,5/4/2014,Standard Class,LL-16840,FUR-FU-10001424,17.46,2,0,5.9364
889,Ca-New-2014-104976,12/9/2014,12/16/2014,Standard Class,CK-12760,OFF-PA-10003845,34.68,6,0,16.9932
898,Ca-New-2014-144407,9/9/2014,9/15/2014,Standard Class,MS-17365,OFF-LA-10003923,103.6,7,0,51.8
916,US-2014-141215,6/15/2014,6/21/2014,Standard Class,KL-16555,FUR-TA-10001520,99.918,2,0.3,-18.5562
917,US-2014-141215,6/15/2014,6/21/2014,Standard Class,KL-16555,FUR-CH-10003379,797.944,4,0.3,-56.996
918,US-2014-141215,6/15/2014,6/21/2014,Standard Class,KL-16555,OFF-BI-10002706,8.568,3,0.8,-14.5656
921,Ca-New-2014-138296,12/5/2014,12/12/2014,Standard Class,RC-19825,OFF-ST-10002444,24.56,2,0,6.8768
926,Ca-New-2014-132962,9/13/2014,9/16/2014,First Class,JM-15535,OFF-PA-10003543,15.552,3,0.2,5.4432
927,Ca-New-2014-132962,9/13/2014,9/16/2014,First Class,JM-15535,TEC-AC-10004353,252,5,0.2,53.55
964,Ca-New-2014-127488,9/22/2014,9/24/2014,Second Class,MS-17365,OFF-LA-10001613,4.608,2,0.2,1.6704
971,Ca-New-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,FUR-FU-10001095,127.104,6,0.2,28.5984
972,Ca-New-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,TEC-PH-10004614,124.2,3,0.4,-31.05
973,Ca-New-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,OFF-BI-10001575,18.588,2,0.7,-13.6312
974,Ca-New-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,OFF-LA-10001074,30.072,3,0.2,10.1493
982,Ca-New-2014-163419,11/11/2014,11/14/2014,Second Class,TZ-21580,OFF-AR-10000034,3.392,1,0.2,0.8056
983,Ca-New-2014-163419,11/11/2014,11/14/2014,Second Class,TZ-21580,TEC-PH-10000560,559.984,2,0.2,55.9984
984,Ca-New-2014-163419,11/11/2014,11/14/2014,Second Class,TZ-21580,FUR-CH-10000665,603.92,5,0.2,75.49
995,Ca-New-2014-117639,5/21/2014,5/25/2014,Standard Class,MW-18235,OFF-BI-10003925,2715.93,7,0,1276.4871
996,Ca-New-2014-117639,5/21/2014,5/25/2014,Standard Class,MW-18235,TEC-PH-10001530,617.97,3,0,173.0316
1011,Ca-New-2014-158540,11/24/2014,11/26/2014,First Class,VG-21790,FUR-FU-10001602,151.72,4,0,27.3096
1029,Ca-New-2014-163552,7/11/2014,7/15/2014,Standard Class,LA-16780,OFF-PA-10000474,177.2,5,0,83.284
1030,Ca-New-2014-163552,7/11/2014,7/15/2014,Standard Class,LA-16780,TEC-PH-10003885,197.97,3,0,57.4113
1031,Ca-New-2014-163552,7/11/2014,7/15/2014,Standard Class,LA-16780,FUR-CH-10003379,854.94,3,0,213.735
